,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,Home_team,WIN
7,41900406,1610612747,LAL,Los Angeles,1628398,Kyle Kuzma,PF,,1316,1,4,0.25,0,2,0,0,0,0,0,1,1,0,0,0,1,3,2,2,FALSE,1
6,41900406,1610612747,LAL,Los Angeles,202693,Markieff Morris,PF,,998,1,4,0.25,1,2,0.5,0,0,0,1,1,2,0,0,0,0,2,3,1,FALSE,1
8,41900406,1610612747,LAL,Los Angeles,201162,Jared Dudley,PF,,87,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,FALSE,1
9,41900406,1610612747,LAL,Los Angeles,1626188,Quinn Cook,PG,,87,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,FALSE,1
10,41900406,1610612747,LAL,Los Angeles,2730,Dwight Howard,C,,66,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,-4,FALSE,1
19,41900406,1610612748,MIA,Miami,1629134,Kendrick Nunn,PG,,765,3,8,0.375,2,4,0.5,0,0,0,0,3,3,1,0,0,2,0,8,-13,TRUE,0
18,41900406,1610612748,MIA,Miami,2738,Andre Iguodala,SF,,634,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,-20,TRUE,0
21,41900406,1610612748,MIA,Miami,203524,Solomon Hill,PF,,149,2,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,5,7,TRUE,0
23,41900406,1610612748,MIA,Miami,1627884,Derrick Jones Jr.,SF,,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,TRUE,0
45,41900405,1610612747,LAL,Los Angeles,200765,Rajon Rondo,PG,,1095,1,7,0.143,0,3,0,2,2,1,1,4,5,5,2,0,1,1,4,-13,TRUE,0
41,41900405,1610612747,LAL,Los Angeles,2730,Dwight Howard,C,,925,0,1,0,0,0,0,2,2,1,2,0,2,0,0,0,1,3,2,-3,TRUE,0
58,41900404,1610612747,LAL,Los Angeles,1628398,Kyle Kuzma,PF,,1139,3,6,0.5,2,5,0.4,1,2,0.5,0,2,2,0,0,0,1,2,9,-4,FALSE,1
54,41900404,1610612747,LAL,Los Angeles,2730,Dwight Howard,C,,469,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,2,1,0,3,FALSE,1
70,41900404,1610612748,MIA,Miami,203482,Kelly Olynyk,C,,745,1,4,0.25,0,2,0,2,2,1,0,2,2,0,0,0,1,3,4,-7,TRUE,0
81,41900403,1610612747,LAL,Los Angeles,201980,Danny Green,SG,,1001,0,6,0,0,4,0,2,2,1,0,3,3,1,0,0,1,3,2,-15,FALSE,0
80,41900403,1610612747,LAL,Los Angeles,2730,Dwight Howard,C,,872,2,2,1,0,0,0,0,0,0,2,1,3,1,1,0,1,2,4,-15,FALSE,0
88,41900403,1610612747,LAL,Los Angeles,201162,Jared Dudley,PF,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0
93,41900403,1610612748,MIA,Miami,203086,Meyers Leonard,C,,763,3,3,1,1,1,1,0,0,0,0,1,1,0,1,0,0,2,7,13,TRUE,1
99,41900403,1610612748,MIA,Miami,203524,Solomon Hill,PF,,233,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,-5,TRUE,1
100,41900403,1610612748,MIA,Miami,1627884,Derrick Jones Jr.,SF,,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,TRUE,1
106,41900402,1610612748,MIA,Miami,203086,Meyers Leonard,C,,552,2,3,0.667,1,1,1,2,2,1,0,0,0,1,0,0,0,1,7,-8,FALSE,0
113,41900402,1610612748,MIA,Miami,203524,Solomon Hill,PF,,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,FALSE,0
112,41900402,1610612748,MIA,Miami,1627884,Derrick Jones Jr.,SF,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0
119,41900402,1610612747,LAL,Los Angeles,2730,Dwight Howard,C,,1031,3,3,1,0,0,0,0,3,0,0,2,2,1,0,2,0,4,6,5,TRUE,1
125,41900402,1610612747,LAL,Los Angeles,202693,Markieff Morris,PF,,955,2,5,0.4,2,5,0.4,0,0,0,1,4,5,2,0,0,0,3,6,3,TRUE,1
140,41900401,1610612748,MIA,Miami,203482,Kelly Olynyk,C,,1084,1,5,0.2,0,2,0,2,2,1,0,5,5,4,0,2,1,2,4,14,FALSE,0
137,41900401,1610612748,MIA,Miami,203524,Solomon Hill,PF,,1082,2,6,0.333,0,4,0,0,0,0,0,3,3,0,0,0,0,2,4,3,FALSE,0
134,41900401,1610612748,MIA,Miami,201609,Goran Dragic,PG,,890,3,8,0.375,0,1,0,0,0,0,0,1,1,3,2,0,1,0,6,1,FALSE,0
138,41900401,1610612748,MIA,Miami,1627884,Derrick Jones Jr.,SF,,449,1,2,0.5,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,-1,FALSE,0
151,41900401,1610612747,LAL,Los Angeles,202693,Markieff Morris,PF,,1057,3,6,0.5,2,3,0.667,0,0,0,0,3,3,1,0,0,2,3,8,-1,TRUE,1
145,41900401,1610612747,LAL,Los Angeles,2730,Dwight Howard,C,,895,0,0,0,0,0,0,2,2,1,1,7,8,2,0,0,1,3,2,-2,TRUE,1
152,41900401,1610612747,LAL,Los Angeles,201162,Jared Dudley,PF,,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRUE,1
154,41900401,1610612747,LAL,Los Angeles,1626188,Quinn Cook,PG,,83,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,TRUE,1
163,41900306,1610612738,BOS,Boston,202954,Brad Wanamaker,PG,,549,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,-2,FALSE,0
162,41900306,1610612738,BOS,Boston,202683,Enes Kanter,C,,454,1,2,0.5,0,0,0,1,2,0.5,2,2,4,0,0,0,0,0,3,-11,FALSE,0
164,41900306,1610612738,BOS,Boston,1629057,Robert Williams III,C,,235,1,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2,3,FALSE,0
176,41900306,1610612748,MIA,Miami,203524,Solomon Hill,PF,,301,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,TRUE,1
185,41900315,1610612743,DEN,Denver,203914,Gary Harris,SG,,794,1,4,0.25,1,3,0.333,0,0,0,0,2,2,1,0,0,3,4,3,4,FALSE,0
190,41900315,1610612743,DEN,Denver,1628470,Torrey Craig,SF,,449,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-3,FALSE,0
191,41900315,1610612743,DEN,Denver,1628408,PJ Dozier,SG,,405,2,3,0.667,1,1,1,0,0,0,0,1,1,0,0,0,0,1,5,-4,FALSE,0
203,41900315,1610612747,LAL,Los Angeles,202693,Markieff Morris,PF,,853,1,3,0.333,1,3,0.333,0,0,0,0,3,3,0,0,1,2,1,3,6,TRUE,1
200,41900315,1610612747,LAL,Los Angeles,200765,Rajon Rondo,PG,,769,3,5,0.6,2,4,0.5,0,0,0,0,3,3,4,0,0,1,2,8,-4,TRUE,1
204,41900315,1610612747,LAL,Los Angeles,201580,JaVale McGee,C,,135,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,-2,TRUE,1
215,41900305,1610612748,MIA,Miami,203524,Solomon Hill,PF,,448,0,0,0,0,0,0,0,0,0,1,2,3,2,0,0,0,0,0,2,FALSE,0
216,41900305,1610612748,MIA,Miami,203482,Kelly Olynyk,C,,234,2,3,0.667,1,2,0.5,0,0,0,0,0,0,0,0,0,0,2,5,0,FALSE,0
217,41900305,1610612748,MIA,Miami,1627884,Derrick Jones Jr.,SF,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2,FALSE,0
227,41900305,1610612738,BOS,Boston,1629684,Grant Williams,PF,,494,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,-3,TRUE,1
228,41900305,1610612738,BOS,Boston,202954,Brad Wanamaker,PG,,299,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,-2,TRUE,1
