,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,Home_team,WIN
0,41900406,1610612747,LAL,Los Angeles,2544,LeBron James,F,,2473,13.0,20.0,0.65,1.0,5.0,0.2,1.0,4.0,0.25,3.0,11.0,14.0,10.0,1.0,0.0,1.0,3.0,28.0,18.0,False,1
2,41900406,1610612747,LAL,Los Angeles,203076,Anthony Davis,C,,2106,7.0,17.0,0.412,0.0,3.0,0.0,5.0,7.0,0.714,4.0,11.0,15.0,3.0,1.0,2.0,3.0,4.0,19.0,18.0,False,1
4,41900406,1610612747,LAL,Los Angeles,203484,Kentavious Caldwell-Pope,G,,2006,6.0,13.0,0.462,2.0,7.0,0.286,3.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,5.0,17.0,8.0,False,1
3,41900406,1610612747,LAL,Los Angeles,1627936,Alex Caruso,G,,1962,2.0,7.0,0.286,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,2.0,4.0,20.0,False,1
5,41900406,1610612747,LAL,Los Angeles,200765,Rajon Rondo,PG,,1825,8.0,11.0,0.727,3.0,4.0,0.75,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,0.0,4.0,1.0,19.0,5.0,False,1
1,41900406,1610612747,LAL,Los Angeles,201980,Danny Green,F,,1474,4.0,10.0,0.4,3.0,7.0,0.429,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,1.0,0.0,2.0,11.0,5.0,False,1
15,41900406,1610612748,MIA,Miami,1628389,Bam Adebayo,C,,2533,10.0,15.0,0.667,0.0,0.0,0.0,5.0,9.0,0.556,1.0,9.0,10.0,5.0,0.0,2.0,2.0,2.0,25.0,-21.0,True,0
16,41900406,1610612748,MIA,Miami,1629130,Duncan Robinson,G,,2050,3.0,8.0,0.375,3.0,7.0,0.429,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,10.0,-16.0,True,0
17,41900406,1610612748,MIA,Miami,1629639,Tyler Herro,G,,1822,3.0,10.0,0.3,1.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,4.0,1.0,7.0,4.0,True,0
14,41900406,1610612748,MIA,Miami,203109,Jae Crowder,F,,1660,3.0,9.0,0.333,1.0,5.0,0.2,5.0,7.0,0.714,1.0,3.0,4.0,1.0,1.0,0.0,0.0,4.0,12.0,-13.0,True,0
